"path","role","git_blob_sha","md5","source_commit","source_url"
"studies/04_convergence/config.R","configuration","88cc8ee2029a0a10521802384d50a72d2ebdaf35","b8081ec177fae70027bd83f46c5ea7c3","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/config.R"
"studies/04_convergence/diagnostic_registry.R","diagnostic registry","ccebf08668d0e32b43b0bfac9ca042172983215f","210c6a86c66ebd92def9b8412da84f6f","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/diagnostic_registry.R"
"studies/04_convergence/methods.R","method execution","2a9f45718fdd739cd46096d5fd3568161bd47fd6","dbb83c40497111d914cec988ed226ef4","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/methods.R"
"studies/04_convergence/chain_extraction.R","chain extraction","265c131c667649b86eefa937eab1eaba5a89347e","b8073f34ce836f46ec333d40836836e8","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/chain_extraction.R"
"studies/04_convergence/diagnostics.R","diagnostics","ff40d03081fbdaa521294429d4f21f7eb54c4c16","db9ef5667341b5e9a72e48902c09da96","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/diagnostics.R"
"studies/04_convergence/recommendations.R","recommendations","3064f5012a5a9f75f2192d68f6f69b0e7779289f","51d670cefcbfc76c6a48be307b26c8d2","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/recommendations.R"
"studies/04_convergence/run_convergence_benchmark.R","entry point","80bf0a1d50e1a82b9840ce8ec3886580e022aaeb","b749c18853e4eee2257127580e7f19ad","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/run_convergence_benchmark.R"
"studies/04_convergence/convergence_contract_smoke_test.R","contract smoke test","e0808499a2cd3c159c50ce6cc300572171d1e468","41903bd5e7216b1f3f30d8f4e2e8f0b7","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/convergence_contract_smoke_test.R"
"studies/04_convergence/worked_convergence_example.R","worked example","e0e13c9998dbd436fc3acd13ac71c5b655ef3ec1","7498c1abd62be09e0c5cbd128bfda67c","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/worked_convergence_example.R"
"studies/04_convergence/pilot.R","study helpers","a033eb97d181ba6e40d6715ae574c666afbc7072","e11026337e2554e570e120e69de2097a","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/pilot.R"
"studies/04_convergence/targets.R","targets pipeline","6547521c3c58a827b1a18806a985ec66a256591a","51c8f4d83a3af41e060926c042e4e3ac","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/targets.R"
"studies/04_convergence/promotion.R","capsule validation","3f27129de6bd7452a768bed454c4ef57b7347b54","112b95469f4f2b06330ac54a5373d789","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/promotion.R"
"studies/04_convergence/promote_convergence_results.R","capsule promotion","0fa2c179fdc70d95dfc7cca3f22cdb148b8f3145","47fdbb5bd4ff8e7022cd679e252ee81e","ca78ed264e53bd7dac7b7f755d164789e917c05b","https://github.com/psoerensen/sblrbench/blob/ca78ed264e53bd7dac7b7f755d164789e917c05b/studies/04_convergence/promote_convergence_results.R"
