"method","burnin","retained_draws","all_estimands_pass","limiting_estimand","limiting_diagnostic","maximum_rhat","minimum_bulk_ess","minimum_tail_ess","maximum_relative_mcse"
"st_bed_bayesrc",250,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.39030813110287,4.96258890295643,11.7521841030888,0.455167573140984
"st_bed_bayesrc",250,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.11064336977979,5.23621076800536,11.0531674343128,0.461111552819298
"st_bed_bayesrc",250,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.81613173058674,5.81894320786071,11.2691969189721,0.426404062511294
"st_bed_bayesrc",250,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.67951537659064,6.40237378489068,14.0067485761814,0.396301702777907
"st_bed_bayesrc",250,2500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.54906320736106,7.39594107382549,13.6383174415665,0.3738348064316
"st_bed_bayesrc",500,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.48754943380035,4.90170886635249,10.9045981668714,0.471961223438523
"st_bed_bayesrc",500,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.19284839104034,5.12703698370334,10.8031721845933,0.457616183197871
"st_bed_bayesrc",500,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.18182020685078,5.24083423959899,11.3047317000482,0.445040374075209
"st_bed_bayesrc",500,2000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.61789211738988,6.66243134906561,11.6993046950256,0.392297980673716
"st_bed_bayesrc",500,2500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.57645708101302,7.49723240338249,12.764101991382,0.3720825687906
"st_bed_bayesrc",750,500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.48854061218124,4.87993705241581,11.3822056904446,0.476304342028096
"st_bed_bayesrc",750,1000,FALSE,"alpha:continuous_signal:component_0_stick","rhat",2.1432396972502,5.22924244515675,11.4595026504725,0.454103422613797
"st_bed_bayesrc",750,1500,FALSE,"alpha:continuous_signal:component_0_stick","rhat",1.85335461914754,5.85384410974776,12.1851382211813,0.428151354838303
