"file","size_bytes","sha256"
"benchmark_manifest.json",4936,"f4e96f4de542e50a51975139b747fca93f27172e4d7d5725582eec06c853e1e4"
"block_definitions.csv",2209,"6f51cf0055575e19fe29302adccfb623bed0752c29f2da2e3383f9fc19126e55"
"checkpoint_validation.csv",17334,"d7f2da456137a3894ab3a39eb8d8fb5d9826033fef8b6a20766efbc65a0df976"
"compatibility_manifest.json",941,"f0a4b6889979be2101d0db97d5fa3b967ee104ec7cffdbb05cf6c501b004ab83"
"computational_summary.csv",6359,"fa96d0f5334a1e14c751a3ac56870e82c6aa0da20d1148e7929b086825e966bf"
"convergence_diagnostics.csv",91368,"b98e872e9164da569c9d565627ef35ba4bbd77de58109edd848d0b5888585e1f"
"convergence_validation_summary.csv",2951,"45f916256ddb0db57c68013eda4d0cd288ddbd9f6c5842ed33d7abfea29c5951"
"deterministic_identity_summary.csv",1911,"698eb053d5cbe0f66d9d676f4a8c3839c25ffac48edeb1a6aeb75a96b542ff2e"
"deterministic_validation_manifest.json",514,"fbaff5a68b5eb25f8a15bd7142d7afe4716b9d28af65af4bd7aad3225c0edd8f"
"example_data_manifest.csv",1581,"06b24f8659bb86c84ebd2c288cbe33e82df1711de9d6fd358e9b96de0510a897"
"fit_status.csv",11836,"ba32886431b051e8cf7d1ca31744da7144a3c153cc32482baed93df1d09aa88d"
"historical_operator_source_files.csv",1372,"bca9f857a2db6c8b4c8bae88063eac31a39fe115ca0314953f8fdb61e8c3ff19"
"low_rank_block_diagnostics.csv",22977,"7ce0849ebbff7fbcae99ba6fcb95439467896de10dd11ef74d5cc4e87fad5731"
"low_rank_fit_block_diagnostics.csv",255514,"deb856397cfd32a52dedd1deabab5a6226c400ebad9cb6ba4b26331cb9ec42a0"
"marker_effect_agreement.csv",12067,"9dc1c10202f8e3848ab6f465f7326046247e2f2cfe892cdc461b48100b8a056a"
"marker_effect_metrics.csv",40967,"f259c48176a768ef9206371aece09a53765e83be2f79c1b6629452001ac77a57"
"method_output_availability.csv",38265,"c0f975abc4962d35e1470df2163e2faeb3677d52981c4d4460a1a375cf26a1ed"
"method_recommendations.csv",1934,"ad185b133f3e57862c9986309da71fab2a546dc9737d7c4f395fa31a171d8652"
"paired_comparison_summary.csv",51147,"a54da63e30a29cdeb77c4e75cce9c2d318547ba590bef4a1b92acc6794f948a1"
"paired_replicate_differences.csv",209309,"9dfcce08fb9c4aa2fd4df2737bc8dcc0b23a31c31bbdca807efb39e342211689"
"parameter_estimates.csv",151549,"c2b15165d7eb3f27276b1b3e48bbe5dfaf5628321251cc4d4902348c26984236"
"parameter_recovery_summary.csv",2765,"c0ead24ce3f8a777858b38c0baa043105c35a92d678a20d9cd4e292ced52234b"
"prediction_metrics.csv",29388,"7579317570f169d3069e27994cb852f48142eb852492ec885c7f2d30e8842709"
"prior_compatibility.csv",2710,"393ff17b996beb19ecc2b2628bf393713a4e1bcb87c45d30e956df08b8c33872"
"readiness_decision.txt",35,"3b11ff2c07fc87b7e8d8d56f378d408d524d8bcd7c1bb59700915c3bd1953cb3"
"README.md",1198,"51e0ad184ad8b1f9c1a2cdf5ee7ff2c60248f20edc08ad2037a0479f29909497"
"sbayesr_block_definitions.csv",482,"093278afa57c2600535816d98afb21c95f2d0402ef65b1dea528b7c10e536315"
"sbayesr_block_diagnostics.csv",974,"9faa21e646cb0c79b7037bc955e2011f81cce598763381704be4365ce5f1947f"
"sbayesr_component_summary.csv",1309,"20541caaa530be67bd0732a7f4632fcfce7e9d263d713cb719752bf7009c81cf"
"sbayesr_conditional_marker_summary.csv",933,"d198a160e695e1c51994870487f841757bf1026069645b72e5bd8fcb88c558d7"
"sbayesr_convergence_summary.csv",7964,"2035559b1bc8c961e291f6bb2c4e0c240d481a1e2162278f5cf10edad30d9c36"
"sbayesr_design.csv",580,"59e69b888f25a277702be8dbeb25a9301c8e8cda88bd5506f48770856e7bf57b"
"sbayesr_deterministic_residual_audit.csv",318,"12f6b61a6aad6a7b1d850061d63a2596bf368c29c8c48185b48c69ad7cdf2127"
"sbayesr_deterministic_variance_audit.csv",358,"462bd5d7edd7c4af626f1d426ac5932c5703f23a1c918b0c44b354455b16bbcc"
"sbayesr_diagnostic_evidence.csv",12320,"18471602ee940020159ab9f5321eadfc8cc68f5ec8b46e860f0064e808a55650"
"sbayesr_effect_recovery.csv",554,"f32926c7103bf7d85aeb0068afb189477290a88c63eff8d23b5b7b38a6638c51"
"sbayesr_effective_rank_summary.csv",352,"f8416853cbda7cd31dedb5d6a27c051a078f8bc446989590c66d15048c6c9916"
"sbayesr_eigenvalue_summary.csv",1365,"3be60b5fa48ac470b4a00f9ce74f4973cf2266e8aaf6c349a938de2f35928849"
"sbayesr_fit_status.csv",616,"6a11e05e56164840339d5cf6297789fce4106489f3f799ed54ccb3739b3b5494"
"sbayesr_input_equivalence.csv",1899,"5e9d7db93dc7ddd71215001cd2b3719da67d1cc830fd45b1111fa98e1ae99272"
"sbayesr_ld_operator_comparison.csv",675,"6e348a54d75c0fe3c1409147c5ffaae22f44e59dbdf7b12456b26a1132928eb3"
"sbayesr_low_eigen_direction_summary.csv",964,"56455478c3fdbf4b6ba8d3cdfbc212c44a1fa87c0c80eed8498a2d074534324c"
"sbayesr_operator_pairwise_comparison.csv",673,"714d5b8409e1ecbe3f6ed3c55ce2c832054fc63d0b70c69d201e9966d5899beb"
"sbayesr_operator_quadratic_checks.csv",2703,"dde9298d7bad634a16779d3cef90a6c84084c02d8cdbeff4d3f6fcf3792f29f4"
"sbayesr_operator_score_checks.csv",1685,"7052b2e606c0e01f03037832f829b5aee7e76f4bff9a58c92709ec40aa4dace0"
