"replicate","method","trait","study","scenario","locus_id","set_id","coverage_type","covered","set_size","cumulative_pip","status.x","reason.x","architecture","simulation_seed","causal_selection_seed","mcmc_seed","sblr_version","qgg_version","sblrbench_commit","method_controls","runtime","convergence_status","status.y","reason.y"
1,"st_bed_bayesc","D1","01_finemapping","separated","2:212388043","locus1:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","2:212388043","locus1:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","5:165172627","locus2:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","5:165172627","locus2:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","7:33749153","locus3:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","7:33749153","locus3:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","7:106006952","locus4:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","7:106006952","locus4:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","8:121986887","locus5:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","8:121986887","locus5:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","11:17746197","locus6:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","11:17746197","locus6:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","11:22618626","locus7:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesc","D1","01_finemapping","separated","11:22618626","locus7:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10101,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10101,""convergence"":""core"",""verbose"":false}",65.2800000000001,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","2:212388043","locus1:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","2:212388043","locus1:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","5:165172627","locus2:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","5:165172627","locus2:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","7:33749153","locus3:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","7:33749153","locus3:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","7:106006952","locus4:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","7:106006952","locus4:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","8:121986887","locus5:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","8:121986887","locus5:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","11:17746197","locus6:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","11:17746197","locus6:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","11:22618626","locus7:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_bed_bayesr","D1","01_finemapping","separated","11:22618626","locus7:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10102,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10102,""convergence"":""core"",""verbose"":false}",86.0899999999999,"reported","ok",""
1,"st_csr_sbayesc","D1","01_finemapping","separated","2:212388043","locus1:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10103,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10103,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
1,"st_csr_sbayesc","D1","01_finemapping","separated","2:212388043","locus1:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10103,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10103,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
1,"st_csr_sbayesc","D1","01_finemapping","separated","5:165172627","locus2:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10103,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10103,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
1,"st_csr_sbayesc","D1","01_finemapping","separated","5:165172627","locus2:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10103,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10103,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
1,"st_csr_sbayesc","D1","01_finemapping","separated","7:33749153","locus3:CS1","exact",TRUE,1,NA,"ok","","separated",3002,2002,10103,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10103,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
1,"st_csr_sbayesc","D1","01_finemapping","separated","7:33749153","locus3:CS1","ld_proxy",TRUE,1,NA,"ok","","separated",3002,2002,10103,"0.2.0","1.1.6","ae5e9f06ffa72127f5bd2b6bac8174e333d51221","{""nit"":500,""nburn"":250,""nthin"":1,""nchains"":1,""ncores"":1,""convergence_control"":{""warn"":false},""seed"":10103,""convergence"":""core"",""verbose"":false}",22.25,"reported","ok",""
