"study","architecture","replicate","method","method_label","prior_class","model_specification","estimand_id","estimand_label","truth","truth_type","posterior_mean","posterior_sd","posterior_median","lower_95","upper_95","bias","absolute_error","squared_error","relative_error","covered_95","interval_width_95","n_posterior_draws","status","reason"
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","causal_proportion","Causal proportion",0.00131610118185886,"realized_quantity",0.000999309158813984,3.88592585157668e-05,0.000991850937856078,0.000932942264069581,0.00107289679537169,-0.000316792023044876,0.000316792023044876,1.00357185864865e-07,-0.240704914949958,FALSE,0.000139954531302106,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.0130267100964059,0.00367397512296418,0.0123188865641273,0.00780845503991922,0.0218865886516389,0.00449732525235066,0.00449732525235066,2.02259344254309e-05,0.527274279983409,TRUE,0.0140781336117197,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.3912788450132,0.0231899510809635,0.390806273560715,0.345810823617288,0.434042420095834,-0.0372925835582295,0.0372925835582295,0.00139073678844753,-0.0870160283025353,TRUE,0.0882315964785453,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","heritability","Heritability",0.3,"realized_quantity",0.272569152611474,0.0126961139337217,0.272985536553158,0.247048786412689,0.296463297664807,-0.0274308473885257,0.0274308473885257,0.000752451388452587,-0.0914361579617523,FALSE,0.0494145112521178,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","residual_variance","Residual variance",1,"realized_quantity",1.04362019117498,0.0218399024971904,1.04402368507051,1.00212032608396,1.08488152819784,0.0436201911749752,0.0436201911749752,0.00190272107814138,0.0436201911749752,FALSE,0.0827612021138842,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesc","st_bed_bayesc","BayesC","matched","total_marker_effect_variance","Total marker-effect variance",0.426469242202764,"realized_quantity",0.494111205111929,0.138825528764921,0.468836427766763,0.293409453426599,0.827907696297965,0.067641962909165,0.067641962909165,0.00457543514620486,0.158609241219335,TRUE,0.534498242871365,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","effect_variance","Nonzero effect variance",0.00852938484405529,"realized_quantity",0.0033080468312606,0.000510704078187206,0.00325959773113111,0.00235079206207224,0.00438638166150777,-0.00522133801279469,0.00522133801279469,2.72623706438548e-05,-0.612158802569895,FALSE,0.00203558959943553,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","genetic_variance","Genetic variance",0.428571428571429,"realized_quantity",0.424675802261003,0.0251017746732233,0.42539480142818,0.379440295139408,0.474030993723786,-0.00389562631042611,0.00389562631042611,1.51759043504842e-05,-0.00908979472432759,TRUE,0.0945906985843781,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","heritability","Heritability",0.3,"realized_quantity",0.296402974620377,0.01421267078236,0.296281554844455,0.268356960067966,0.323174982618604,-0.00359702537962331,0.00359702537962331,1.29385915816542e-05,-0.0119900845987444,TRUE,0.0548180225506376,500,"ok",
"03_parameter_estimation","sparse_homogeneous",1,"st_bed_bayesr","st_bed_bayesr","BayesR","misspecified","residual_variance","Residual variance",1,"realized_quantity",1.00754142592962,0.0228106156259187,1.00751902228188,0.96497664310247,1.05388782396314,0.0075414259296207,0.0075414259296207,5.68731050519555e-05,0.0075414259296207,TRUE,0.0889111808606701,500,"ok",
