"file","size_bytes","md5"
"benchmark_manifest.json",7768,"a0a01f6c54471c4d4449a055aaf66b38"
"computational_summary.csv",820,"533689e69c40d0f25b8042a15a199991"
"config.R",2279,"2864e9b932426882f7c1aa88965d39f7"
"estimand_registry.csv",1571,"0cb66b6a359a5371c2fee1360a2b6c43"
"estimands.R",2379,"c6a17cd1673f724cc6c5704f714fbf9e"
"example_data_manifest.csv",1587,"fb5be7c21b86eec5bba53f876fe66afb"
"methods.R",5353,"d075a476ceb42809a7318d0a7ef89b50"
"metrics.R",4067,"7a664aa06831fe8d4262ea47c263b030"
"paired_comparison_summary.csv",5938,"bc4150ae0f7e7e5b49b76022e947071b"
"paired_parameter_differences.csv",7264,"c4e2b71c5f5c2eca53e9acb4b4867e0b"
"parameter_estimates.csv",17203,"c49ccb9d38943281351b3d2d2114e1a8"
"parameter_estimation_contract_smoke_test.R",769,"7d50ae54b5b0eb64f3cb85955e110211"
"parameter_recovery_summary.csv",10278,"56f3103f357f4409f1b29e6de3896ceb"
"pilot.R",1697,"208b8960a9735fd5ca1e56bd75f621ec"
"README.md",424,"e63ccb9a9229ef0abbe0b2c3e9293297"
"replicate_status.csv",472,"68891783e02ce89c618f842f5602a602"
"run_parameter_estimation_benchmark.R",433,"449a15bc0e60220e57f8fe7f68019e0d"
"seed_registry.csv",524,"3c60a762bba06c4903d7002bdb913e31"
"session_info.txt",585,"5057f5f325dfc0ee6c5eee873880b35c"
"simulation.R",3555,"87f2c8bf26201d1a4071ad6eee10d8f1"
"simulation_truth.csv",2025,"1c011da179adc0715831162757fb1aae"
"source_files.csv",1567,"012a009d3dbd696c5f175b4c67f2069c"
"targets.R",6767,"939e2b58324f96f83a1d10296dce239d"
"worked_parameter_estimation_example.R",1954,"7cb533c121e43b033b759ad008bb978b"
