"architecture","replicate","configuration","posterior_heritability","vgs","ves","vbs","vld","vle","pis","prediction_correlation","prediction_rmse","prediction_slope","genetic_value_correlation","genetic_value_rmse","marker_effect_correlation","marker_effect_rmse","runtime_seconds","fit_object_bytes","representation","eigen_prop","operator_contract","source_sha","package_version","warnings","chain_elapsed_seconds","chain_timing_source","chain_seconds_max","seconds_per_chain_iteration","operator_construction_seconds","cross_product_seconds","eigendecomposition_seconds","transformation_seconds","operator_storage_bytes","chain_residual_storage_bytes","rebuild_every","rebuild_count","maximum_drift","available"
"sparse_homogeneous",1,"bed",0.267043616182939,0.382327333879508,1.04937636810149,0.0154099907106145,-0.00765485273801802,0.389982186617526,0.0010847254526529,0.521755922268159,1.01972534872089,1.03349606438324,0.923066715789672,0.254034600602272,0.922470150635534,0.00129419126399912,16.35,76441184,,,,"bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",14.9514999389648,"native_seconds_mean",15.2990000247955,0.199353332519531,,,,,,,,,,FALSE
"sparse_homogeneous",1,"block_csr",0.302408529688512,0.432638726913141,0.998004540189042,0.0101373971327044,-0.000839857131746902,0.433478584044888,0.00102241071660936,0.51823360686987,1.02236557530156,1.03903246129051,0.920938966631531,0.257570564671917,0.918493482014712,0.00132577665730368,8.50999999999999,75957264,,,,"bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",1.8144998550415,"native_seconds_mean",1.81799983978271,0.0241933314005534,,,,,,,,,,FALSE
"sparse_homogeneous",1,"dense_reconstructed_unfiltered",0.30217748952954,0.431299074511391,0.996004710369739,0.00963020126964092,-0.000731923867335669,0.432030998378727,0.00102639314270371,0.519072205895705,1.02182280868842,1.04461502534063,0.922461770273964,0.255318096884548,0.9206241025446,0.00130945640517462,261.22,75969952,"dense_reconstructed",,,"bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",2.01149994134903,"native_seconds_mean",2.01799988746643,0.0268199992179871,,,,,,,,,,FALSE
"sparse_homogeneous",1,"full_csr",0.302012482297919,0.431618257975627,0.997522202350972,0.0101986397601022,-0.000516187821208575,0.432134445796835,0.00102429478369494,0.521320605918162,1.02026564126017,1.04999627772155,0.927032767333275,0.248233158396634,0.925126172320172,0.00127400596341591,8.32000000000001,75957264,,,,"bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",1.96424996852875,"native_seconds_mean",1.97000002861023,0.0261899995803833,,,,,,,,,,FALSE
"sparse_homogeneous",1,"low_rank_0995",0.299862893733471,0.428779649292279,1.00113935120064,0.00999375116279226,-0.000904993865338873,0.429684643157618,0.00102009819410627,0.518761462753488,1.02201836474753,1.0409355199013,0.92169395614638,0.25646059834878,0.919809768445326,0.00131572004009668,112.95,75987072,"low_rank",0.995,"block_low_rank_v1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",4.56675004959106,"native_seconds_mean",4.6230001449585,0.0608900006612142,107.9534656,98.6398686,8.5097174,0.2994331,149794756,297848,100,1,7.99360577730113e-15,TRUE
"sparse_homogeneous",1,"low_rank_0999",0.300761925546688,0.428681903449101,0.996637816358837,0.0101667166026718,-0.000769907195078056,0.429451810644179,0.00102293407663521,0.521406374376609,1.02023869289581,1.04966775493117,0.924380818755872,0.252450084910174,0.922118282833499,0.00129781413661271,113.39,75987072,"low_rank",0.999,"block_low_rank_v1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",5.00200003385544,"native_seconds_mean",5.2260000705719,0.0666933337847392,107.7763808,98.3109234,8.6712787,0.3225113,152231044,302712,100,1,8.88178419700125e-15,TRUE
"sparse_homogeneous",1,"low_rank_full",0.301979200400069,0.430869277788865,0.995948454088163,0.0100405727695272,-0.000741130551610898,0.431610408340476,0.00102143110775392,0.519827332378258,1.02125101282347,1.04353759085014,0.922325075297116,0.255430740382516,0.920919891743112,0.00130689283708254,155.94,75987072,"low_rank",1,"block_low_rank_v1","bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",4.76724988222122,"native_seconds_mean",4.89299988746643,0.0635633317629496,150.1125378,136.5720114,12.4949043,0.4649589,152840116,303928,100,1,1.24344978758018e-14,TRUE
"sparse_mixture",1,"bed",0.278909628967144,0.389945828591981,1.00816233295133,0.00360063372402723,-0.00251595863527954,0.392461787227261,,0.51648365935091,1.01030186358496,1.14028506740135,0.941782673238523,0.244106484788154,0.94255079919037,0.00122537043188825,20.4699999999999,126576832,,,,"bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",19.3197499513626,"native_seconds_mean",19.9509999752045,0.257596666018168,,,,,,,,,,FALSE
"sparse_mixture",1,"block_csr",0.379115447410006,0.529409508465176,0.867023984503604,0.00421909086323707,-0.00064911032535188,0.530058618790528,0.00997531248186528,0.499354786967098,1.01978087136643,1.04411640849584,0.911233531448173,0.278740789055256,0.914942208375958,0.00138452440568034,3.65999999999997,126129400,,,,"bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",3.65999999999997,"wall_minus_construction_estimate",0,0.0487999999999996,,,,,,,,,,FALSE
"sparse_mixture",1,"dense_reconstructed_unfiltered",0.380800297316833,0.531578303454809,0.864372033770179,0.00445486664927656,-0.000918383106057823,0.532496686560867,0.00996496178481566,0.497702026552416,1.02081526526223,1.03283586297269,0.910411756014478,0.279199049667936,0.914513985187963,0.00138505359004537,103.81,126142048,"dense_reconstructed",,,"bd8e2c8148a0d9540dc20716455706beeb16fa86","0.2.0","",103.81,"wall_minus_construction_estimate",0,1.38413333333333,,,,,,,,,,FALSE
