"architecture","comparison","heritability_difference","prediction_correlation_difference","posterior_effect_correlation","posterior_effect_rmse","pip_correlation"
"sparse_homogeneous","block_csr minus full_csr",0.000396047390593346,-0.00308699904829246,0.998532059931243,0.000165781424089174,0.991428511194195
"sparse_homogeneous","dense_reconstructed_unfiltered minus low_rank_full",0.000198289129471341,-0.000755126482552715,0.999106807013406,0.000129327993791315,0.993464313132305
"sparse_homogeneous","full_csr minus bed",0.03496886611498,-0.000435316349997272,0.974710233335112,0.000692730022995611,0.93365706056475
"sparse_homogeneous","low_rank_0995 minus low_rank_full",-0.00211630666659768,-0.0010658696247694,0.998517405898792,0.000166394831428709,0.992520305185719
"sparse_homogeneous","low_rank_0999 minus low_rank_full",-0.00121727485338147,0.00157904199835146,0.999051800338242,0.000133336697197203,0.993637887756702
"sparse_homogeneous","low_rank_full minus block_csr",-0.000429329288443303,0.0015937255083881,0.998929206571425,0.000141452193426122,0.993274396423789
"sparse_mixture","block_csr minus full_csr",-0.000272847746486893,-9.1395226681612e-05,0.995752680223183,0.000263970336772812,0.889909056312626
"sparse_mixture","dense_reconstructed_unfiltered minus low_rank_full",0.00249462761197827,-0.00289405641597684,0.996626270122836,0.000236770095882249,0.893272350513271
"sparse_mixture","full_csr minus bed",0.100478666189348,-0.0170374771571308,0.965279291750489,0.000748943024085385,0.721237410618191
"sparse_mixture","low_rank_0995 minus low_rank_full",-0.00279889569408814,-0.00121179813823502,0.995945034533395,0.000257756983197257,0.890874098996074
"sparse_mixture","low_rank_0999 minus low_rank_full",0.00112845874285944,-0.00145098307611036,0.996390215026563,0.000243462761275382,0.891382420715714
"sparse_mixture","low_rank_full minus block_csr",-0.000809777705150894,0.00124129600129536,0.996458940390558,0.000241002069923885,0.891759699524096
