"architecture","method","burnin_candidate","estimand","candidate_mean","reference_mean","reference_posterior_sd","standardized_mean_shift","stable","status"
"sparse_homogeneous","st_bed_bayesc",250,"effect_variance",0.012830779637379,0.012798025184846,0.00349613869115316,0.00936875090680703,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",250,"genetic_variance",0.389712262791622,0.389831414787108,0.0222002349571749,0.00536715019979262,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",250,"residual_variance",1.04467554171419,1.04464492424477,0.0224005830207956,0.00136681573817534,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",250,"heritability",0.271593279171595,0.271665278112627,0.0125533394359528,0.00573544126644083,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"effect_variance",0.0128173606320855,0.012798025184846,0.00349613869115316,0.00553051493306009,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"genetic_variance",0.389744855188333,0.389831414787108,0.0222002349571749,0.0038990397597765,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"residual_variance",1.04454706482809,1.04464492424477,0.0224005830207956,0.00436861025398255,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",500,"heritability",0.271637358199757,0.271665278112627,0.0125533394359528,0.00222410244008444,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"effect_variance",0.012798025184846,0.012798025184846,0.00349613869115316,0,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"genetic_variance",0.389831414787108,0.389831414787108,0.0222002349571749,0,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"residual_variance",1.04464492424477,1.04464492424477,0.0224005830207956,0,TRUE,"ok"
"sparse_homogeneous","st_bed_bayesc",1000,"heritability",0.271665278112627,0.271665278112627,0.0125533394359528,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"effect_variance",0.00375321065964834,0.00374974602233657,0.000559878076839695,0.00618819963682359,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"genetic_variance",0.433141658450079,0.433051352206809,0.0236944257277416,0.00381128643116968,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"residual_variance",1.00543485393057,1.00530772167517,0.0221358702411392,0.00574326891237918,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",250,"heritability",0.300985339403896,0.300969120401055,0.013013067455819,0.00124636277306978,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"effect_variance",0.00374417436974007,0.00374974602233657,0.000559878076839695,0.00995154628657098,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"genetic_variance",0.432870932578955,0.433051352206809,0.0236944257277416,0.00761443345059366,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"residual_variance",1.00539939076424,1.00530772167517,0.0221358702411392,0.00414120104936993,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",500,"heritability",0.300859817242092,0.300969120401055,0.013013067455819,0.00839949222839969,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"effect_variance",0.00374974602233657,0.00374974602233657,0.000559878076839695,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"genetic_variance",0.433051352206809,0.433051352206809,0.0236944257277416,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"residual_variance",1.00530772167517,1.00530772167517,0.0221358702411392,0,TRUE,"ok"
"sparse_mixture","st_bed_bayesr",1000,"heritability",0.300969120401055,0.300969120401055,0.013013067455819,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",250,"effect_variance",0.00887020723506787,0.00887861284748141,0.00204285186086891,0.00411464608596769,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",250,"genetic_variance",0.419752200824938,0.4197088478027,0.0242140586242666,0.00179040709000023,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",250,"residual_variance",1.01504468906633,1.01515890294863,0.0235611294584241,0.00484755548310231,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",250,"heritability",0.292460266359802,0.292412762546962,0.0139141953871828,0.00341405388660387,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"effect_variance",0.00887672912400325,0.00887861284748141,0.00204285186086891,0.000922104786082093,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"genetic_variance",0.419565540361014,0.4197088478027,0.0242140586242666,0.00591835693094224,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"residual_variance",1.01497997360903,1.01515890294863,0.0235611294584241,0.00759425985534199,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",500,"heritability",0.292381097975242,0.292412762546962,0.0139141953871828,0.00227570267904996,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"effect_variance",0.00887861284748141,0.00887861284748141,0.00204285186086891,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"genetic_variance",0.4197088478027,0.4197088478027,0.0242140586242666,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"residual_variance",1.01515890294863,1.01515890294863,0.0235611294584241,0,TRUE,"ok"
"sparse_homogeneous","st_csr_sbayesc",1000,"heritability",0.292412762546962,0.292412762546962,0.0139141953871828,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"effect_variance",0.00467274615843933,0.00468828819608053,0.000713510648985197,0.0217824886892854,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"genetic_variance",0.560469303241248,0.560403168679349,0.0312603895570188,0.00211560261520251,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"residual_variance",0.879322011303368,0.878737543819912,0.026823712633815,0.0217892091014673,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",250,"heritability",0.389156540351807,0.389289945891155,0.0178217977695578,0.00748552649252087,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"effect_variance",0.00467468873448826,0.00468828819608053,0.000713510648985197,0.0190599279935259,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"genetic_variance",0.560274442760527,0.560403168679349,0.0312603895570188,0.00411786035446435,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"residual_variance",0.879150562319004,0.878737543819912,0.026823712633815,0.0153975143087318,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",500,"heritability",0.389123339693443,0.389289945891155,0.0178217977695578,0.0093484506931514,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"effect_variance",0.00468828819608053,0.00468828819608053,0.000713510648985197,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"genetic_variance",0.560403168679349,0.560403168679349,0.0312603895570188,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"residual_variance",0.878737543819912,0.878737543819912,0.026823712633815,0,TRUE,"ok"
"sparse_mixture","st_csr_sbayesr",1000,"heritability",0.389289945891155,0.389289945891155,0.0178217977695578,0,TRUE,"ok"
