"architecture","method","burnin_candidate","retained_draw_candidate","estimand","rhat","ess_bulk","ess_tail","mcse_mean","posterior_sd","relative_mcse","chain_count","draws_per_chain","total_draws","rhat_pass","ess_bulk_pass","ess_tail_pass","relative_mcse_pass","chain_count_pass","finite_pass","overall_pass","status","reason"
"sparse_homogeneous","st_bed_bayesc",250,250,"effect_variance",1.00149426891574,862.320725039605,1032.17322551837,0.000123929953291891,0.00366779456553893,0.0337886844743937,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,250,"genetic_variance",1.00153363703165,1183.05239866252,966.687362860173,0.000653214991670074,0.0225103042757578,0.0290184878741754,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,250,"residual_variance",1.00166080230655,887.294342949183,977.961353451446,0.000731120381258045,0.02173538022122,0.0336373403095226,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,250,"heritability",1.00234465756672,1207.24748881798,1002.66403341205,0.000360592223019927,0.0125267046984543,0.0287858803811686,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,500,"effect_variance",1.00199737750679,1682.59638857183,1870.60448579043,8.83784692105419e-05,0.00364068584479443,0.0242752253224233,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,500,"genetic_variance",1.00093049854513,2202.95893825952,1841.34856450182,0.000473162324841875,0.0223125237125058,0.0212061320780435,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,500,"residual_variance",1.00269314009611,1823.71844659311,1958.6915969319,0.000509857758413982,0.0217604883447925,0.0234304373291326,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,500,"heritability",1.00183398292938,2218.07613018501,2016.01899216454,0.000262770717566547,0.0124050442906648,0.0211825698812127,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,1000,"effect_variance",0.99969190006499,3363.15310488392,3799.15481538526,6.11997652279631e-05,0.00357535168136184,0.0171171315949127,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,1000,"genetic_variance",1.00032160917927,4396.18131016733,3948.50114303765,0.000340629748427421,0.022623974936815,0.0150561406374761,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,1000,"residual_variance",1.0010525750282,3439.24118786367,3424.68929437037,0.000374759318695469,0.0220078110297114,0.0170284685827922,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,1000,"heritability",1.00114875592123,4264.08112556072,4102.47506014919,0.000193658279959675,0.0126498449182746,0.0153091426188085,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,2000,"effect_variance",0.99987015097712,6672.24919399805,7385.03861218822,4.31499378257108e-05,0.00355898386923846,0.0121242296709099,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,2000,"genetic_variance",1.00011056484617,8637.42741112734,8188.44790568148,0.000241493211171043,0.0224366869918794,0.0107633186333815,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,2000,"residual_variance",1.00056117384997,6866.73329414649,7309.16505738988,0.000267233481217281,0.0221557958336608,0.0120615609217377,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",250,2000,"heritability",1.0004376582818,8453.99564706904,8008.54905558092,0.000137276047762124,0.0126192138295773,0.0108783359737016,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,250,"effect_variance",1.00300382957893,845.108497683688,954.501669105784,0.000124045991734573,0.00361291248178736,0.034334070465279,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,250,"genetic_variance",1.00092868069545,1039.93535843251,904.863552531689,0.000678678224936364,0.0221080831863045,0.0306981939237858,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,250,"residual_variance",1.0036434973806,953.000629931221,952.700408151403,0.000704996198221706,0.0217567589602463,0.0324035486861745,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,250,"heritability",1.0035684261601,1043.07460801122,977.622017362906,0.000377321737288445,0.0122871641800451,0.0307086103644022,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,500,"effect_variance",1.0018676623439,1651.35085723728,1921.07958460156,8.76355942030408e-05,0.00357991958247076,0.024479766146746,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,500,"genetic_variance",1.0005149296385,2131.07361421082,1919.56831441847,0.000489509578427628,0.0226887705781578,0.0215749714926764,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,500,"residual_variance",1.00098494298662,1883.53278445693,1766.15017831597,0.000506936876383373,0.0219992127996952,0.0230434098255732,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,500,"heritability",1.0006940677231,2082.42972315631,2103.42494892957,0.000277098463429784,0.0126737604102299,0.021863949961222,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,1000,"effect_variance",1.00032834632629,3319.11074293235,3680.37958754893,6.15026771817123e-05,0.00355417364847522,0.0173043534910281,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,1000,"genetic_variance",1.00011243792037,4362.96062677344,4142.62010636095,0.000342046341517468,0.0226188329163543,0.0151221923245278,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,1000,"residual_variance",1.00036570672699,3406.62580433851,3378.56532889142,0.000376287466254553,0.0219916445952102,0.0171104741450992,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,1000,"heritability",1.00027366330787,4126.34913658041,4121.32543341871,0.000196815142230888,0.0126500991297999,0.0155583873463291,4,1000,4000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,2000,"effect_variance",1.00031185870365,6703.50261384987,7352.18306028195,4.26919923579676e-05,0.00352975495741749,0.0120948884194507,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,2000,"genetic_variance",1.00009309878986,8600.71828084368,8215.97550681332,0.000241236338983527,0.0223472960735111,0.0107948781897364,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,2000,"residual_variance",1.00056577421526,6864.74457981201,7268.71095602623,0.00026912959951641,0.0223148870334026,0.0120605405312407,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",500,2000,"heritability",1.00019966497194,8339.82290022623,7909.76059288223,0.000138225933495125,0.0126177458806275,0.0109548832892052,4,2000,8000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",1000,250,"effect_variance",0.998518433776873,824.573731635361,993.773909165621,0.000121825188441594,0.00347371266880805,0.0350706002645281,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",1000,250,"genetic_variance",1.00196362259485,1094.6363103066,1019.94152961922,0.0006841967999768,0.0226218793312399,0.0302449142247855,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",1000,250,"residual_variance",1.00313492927607,718.55731637962,710.320116360198,0.000825170257741683,0.0222927524537491,0.0370151805818357,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",1000,250,"heritability",1.00406081060118,1016.56684295685,997.78043467777,0.000399778671290106,0.012733280799045,0.0313963602624777,4,250,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",1000,500,"effect_variance",0.999017619241846,1633.15962895334,1963.81445198763,8.71749386533648e-05,0.00352883061827082,0.0247036336065577,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",1000,500,"genetic_variance",1.00160516015903,2207.56456654644,1937.54607035635,0.000480501783981692,0.0225520901271624,0.0213063082522432,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
"sparse_homogeneous","st_bed_bayesc",1000,500,"residual_variance",1.00025515090944,1546.91948642188,1649.66843591112,0.000557969240734208,0.021985240021761,0.0253792653699451,4,500,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"pass",""
