stick,update,parameter,posterior_mean,posterior_sd,lower_95,upper_95,rhat,truth,bias,covered
1,blocked,Intercept,-1.55844263525696,0.0573395760789845,-1.67323824151543,-1.44836003871345,1.00063151437157,-1.56207874027373,0.00363610501676748,true
1,blocked,enriched_binary,1.61896428410826,0.117496513839933,1.38994285048806,1.85177758258929,1.00005377587454,1.6,0.0189642841082622,true
1,blocked,continuous_signal,0.351365785138473,0.0489364393470067,0.255889356964045,0.449728815527487,1.00076933647578,0.3,0.0513657851384733,true
1,blocked,null_annotation,0.0148598297706512,0.0473619505031527,-0.0770422901607853,0.10837516217809,1.00027937026463,0,0.0148598297706512,true
2,blocked,Intercept,-0.449496496497302,0.149686147429375,-0.747031991809124,-0.159096272766631,1.00024605610975,-0.197760842964024,-0.251735653533278,true
2,blocked,enriched_binary,0.515075520074033,0.194492408984988,0.137407870607125,0.898292899298246,1.00032590646931,0.3,0.215075520074033,true
2,blocked,continuous_signal,0.367290424569225,0.102150311223737,0.168451325772341,0.570137060039024,1.00003528464453,0.15,0.217290424569225,false
2,blocked,null_annotation,-0.0736687656854688,0.0926746904599379,-0.254654484343359,0.108381592422385,1.00013245736062,0,-0.0736687656854688,true
3,blocked,Intercept,0.0389143184544476,0.248201109841566,-0.444875549115834,0.526955416786088,0.99993941951566,-0.377990853357081,0.416905171811529,true
3,blocked,enriched_binary,-0.448489551829864,0.272842851644278,-0.983773740503135,0.0880424289992599,1.00024036854959,0.2,-0.648489551829864,false
3,blocked,continuous_signal,0.110402117420741,0.145380775482215,-0.173686839169972,0.397500405418142,1.00012143365067,0.1,0.0104021174207414,true
3,blocked,null_annotation,-0.104539563268919,0.125566810244361,-0.351076582725526,0.139707283190011,1.00000176624117,0,-0.104539563268919,true
1,scalar,Intercept,-1.55739267452142,0.0572163808461903,-1.67260963935163,-1.44922041792597,1.00036357469671,-1.56207874027373,0.00468606575231001,true
1,scalar,enriched_binary,1.61882737152883,0.118006167390234,1.38988832250845,1.85110535253722,1.0001603033984,1.6,0.018827371528833,true
1,scalar,continuous_signal,0.351635871203045,0.0502147501943669,0.255013001754408,0.451103733430435,1.00016527978284,0.3,0.051635871203045,true
1,scalar,null_annotation,0.0151247633299498,0.047025067394874,-0.0757272795237142,0.108030908380841,1.00008031688107,0,0.0151247633299498,true
2,scalar,Intercept,-0.448672918136821,0.152229534283252,-0.746646996267986,-0.150065550090798,1.0008913243008,-0.197760842964024,-0.250912075172797,true
2,scalar,enriched_binary,0.512793587343387,0.195656589278803,0.126359380221805,0.8942714794491,1.00091518737479,0.3,0.212793587343387,true
2,scalar,continuous_signal,0.364536182282963,0.102926159124284,0.166722378284046,0.568072448458476,1.00011968311659,0.15,0.214536182282963,false
2,scalar,null_annotation,-0.0732776743268768,0.0923266558660881,-0.253565677627713,0.105006351247376,1.00001516528106,0,-0.0732776743268768,true
3,scalar,Intercept,0.0482702132842011,0.245150778960625,-0.433297109356345,0.526859070242782,1.0012675303975,-0.377990853357081,0.426261066641283,true
3,scalar,enriched_binary,-0.453768796899428,0.273773989491122,-0.993066279294241,0.0792531127080975,1.0007256428959,0.2,-0.653768796899428,false
3,scalar,continuous_signal,0.106301281160509,0.142353251847105,-0.172923785424148,0.382834393001449,1.00116472176821,0.1,0.00630128116050947,true
3,scalar,null_annotation,-0.104571844528127,0.126308879129517,-0.352848847184896,0.144812978885296,1.00018782039899,0,-0.104571844528127,true
