"architecture","replicate","configuration","method","estimand","available","unavailable_reason","posterior_mean","posterior_sd","posterior_median","lower_95","upper_95","truth","bias","squared_error","interval_coverage","interpretation","chain_count","draws_per_chain"
"sparse_homogeneous",1,"bed","bayesc","component_proportion_0",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"bed","bayesc","component_proportion_1",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"bed","bayesc","component_proportion_2",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"bed","bayesc","component_proportion_3",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"bed","bayesc","effect_variance",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"bed","bayesc","genetic_variance",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"bed","bayesc","global_nonnull_proportion",TRUE,"",0.000973416940989438,4.91640559811778e-05,0.000972947242638692,0.000864239512517727,0.00106211083094773,,,,,"posterior_behaviour",4,250
"sparse_homogeneous",1,"bed","bayesc","heritability",TRUE,"",0.264539861282896,0.0139738021331834,0.264320872900832,0.236523926639383,0.291948610406069,0.3,-0.0354601387171041,0.00125742143783626,FALSE,"parameter_recovery",4,250
"sparse_homogeneous",1,"bed","bayesc","residual_variance",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"bed","bayesc","vbs",TRUE,"",0.0186012653035384,0.00648875186948036,0.0175803442716573,0.0100887196987644,0.033135575457413,,,,,"posterior_behaviour",4,250
"sparse_homogeneous",1,"bed","bayesc","ves",TRUE,"",1.05264269818083,0.0260530356308452,1.05278968721785,1.00235035466537,1.10674295761679,,,,,"posterior_behaviour",4,250
"sparse_homogeneous",1,"bed","bayesc","vgs",TRUE,"",0.378858230650236,0.0247454432455598,0.377748160036999,0.332466435241268,0.427620756057929,,,,,"posterior_behaviour",4,250
"sparse_homogeneous",1,"bed","bayesc","vld",TRUE,"",-0.00931241388622596,0.00313558741943963,-0.00942807465774945,-0.0153256502910066,-0.00326945716121926,,,,,"posterior_behaviour",4,250
"sparse_homogeneous",1,"bed","bayesc","vle",TRUE,"",0.388170644536462,0.0252814512741443,0.387114946052322,0.33812840553788,0.436595483176103,,,,,"posterior_behaviour",4,250
"sparse_homogeneous",1,"block_csr","sbayesc","component_proportion_0",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"block_csr","sbayesc","component_proportion_1",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"block_csr","sbayesc","component_proportion_2",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
"sparse_homogeneous",1,"block_csr","sbayesc","component_proportion_3",FALSE,"not returned as identifiable per-chain draws by installed model",,,,,,,,,,"unavailable",4,0
