"architecture","replicate","comparison_id","posterior_mean_effect_correlation","posterior_mean_effect_rmse","nonnull_probability_correlation","high_pip_overlap","component_probability_agreement"
"sparse_homogeneous",1,"block_csr_minus_bed",0.974676671923929,0.00069263090480057,0.936207939283792,0.842105263157895,
"sparse_homogeneous",1,"block_csr_minus_full_csr",0.999409918887887,0.000105310290539798,0.997275034519182,1,
"sparse_homogeneous",1,"block_eigen_hard_minus_bed",0.974938366395208,0.00068882997208447,0.937362155056335,0.842105263157895,
"sparse_homogeneous",1,"block_eigen_ridge_fixed_minus_bed",0.974223437711621,0.000698433249547902,0.935256426267975,0.842105263157895,
"sparse_homogeneous",1,"block_eigen_unfiltered_minus_bed",0.974096847719173,0.000700047920282664,0.935952729883382,0.842105263157895,
"sparse_homogeneous",1,"full_csr_minus_bed",0.975195329800823,0.000685008053279869,0.938019212433578,0.842105263157895,
"sparse_homogeneous",1,"hard_minus_unfiltered_block_eigen",0.99975793162688,6.71434921059302e-05,0.998587008615555,1,
"sparse_homogeneous",1,"ridge_fixed_minus_unfiltered_block_eigen",0.999773567568824,6.48093079277915e-05,0.998585417367263,1,
"sparse_homogeneous",1,"unfiltered_block_eigen_minus_block_csr",0.999829947697458,5.68946161413778e-05,0.998736328168341,1,
"sparse_homogeneous",2,"block_csr_minus_bed",0.982789477241442,0.000544655174758114,0.951818967458115,0.941176470588235,
"sparse_homogeneous",2,"block_csr_minus_full_csr",0.999095101982102,0.000124372437111243,0.996910398505655,1,
"sparse_homogeneous",2,"block_eigen_hard_minus_bed",0.982740673761764,0.000545451558242532,0.952073168724272,0.941176470588235,
"sparse_homogeneous",2,"block_eigen_ridge_fixed_minus_bed",0.982533701081057,0.000548544312211842,0.951781763974916,0.941176470588235,
"sparse_homogeneous",2,"block_eigen_unfiltered_minus_bed",0.98271809776399,0.000545767028710129,0.952149189233744,0.941176470588235,
"sparse_homogeneous",2,"full_csr_minus_bed",0.982242774041408,0.00055353809703716,0.952117675745981,0.941176470588235,
"sparse_homogeneous",2,"hard_minus_unfiltered_block_eigen",0.999801774840271,5.80242615631526e-05,0.998534298552598,1,
"sparse_homogeneous",2,"ridge_fixed_minus_unfiltered_block_eigen",0.999739038192881,6.6624803043351e-05,0.99836696858615,1,
"sparse_homogeneous",2,"unfiltered_block_eigen_minus_block_csr",0.999749647262079,6.51843598145909e-05,0.998351917780113,1,
"sparse_homogeneous",3,"block_csr_minus_bed",0.979254953764589,0.000633498512991613,0.95304729847152,0.818181818181818,
"sparse_homogeneous",3,"block_csr_minus_full_csr",0.997757938722923,0.000204094023018744,0.993656809081258,0.952380952380952,
"sparse_homogeneous",3,"block_eigen_hard_minus_bed",0.979005540770004,0.000637220713543628,0.952607238454198,0.818181818181818,
"sparse_homogeneous",3,"block_eigen_ridge_fixed_minus_bed",0.978922754098735,0.000638553880504791,0.952030319755298,0.818181818181818,
"sparse_homogeneous",3,"block_eigen_unfiltered_minus_bed",0.978803561924262,0.000640293847191048,0.951589245056626,0.818181818181818,
"sparse_homogeneous",3,"full_csr_minus_bed",0.982463413651998,0.000583062819083456,0.959163616987187,0.857142857142857,
"sparse_homogeneous",3,"hard_minus_unfiltered_block_eigen",0.999809559810798,5.9405017250398e-05,0.998733307752702,1,
"sparse_homogeneous",3,"ridge_fixed_minus_unfiltered_block_eigen",0.999806035029981,5.98766455157764e-05,0.998778620968479,1,
"sparse_homogeneous",3,"unfiltered_block_eigen_minus_block_csr",0.999795401791561,6.15532496742289e-05,0.998736027757319,1,
"sparse_homogeneous",4,"block_csr_minus_bed",0.971593067169966,0.000744401572850638,0.927504039008076,0.80952380952381,
"sparse_homogeneous",4,"block_csr_minus_full_csr",0.998805134346306,0.000151829051336661,0.996411423453667,0.95,
"sparse_homogeneous",4,"block_eigen_hard_minus_bed",0.971013349488473,0.000751752881707558,0.926658113005761,0.80952380952381,
"sparse_homogeneous",4,"block_eigen_ridge_fixed_minus_bed",0.971090019986418,0.000750986901846144,0.926002761570053,0.80952380952381,
"sparse_homogeneous",4,"block_eigen_unfiltered_minus_bed",0.970992501153062,0.000752095987387517,0.925253643023717,0.80952380952381,
"sparse_homogeneous",4,"full_csr_minus_bed",0.973263775630708,0.000722576354183409,0.93302111974986,0.85,
"sparse_homogeneous",4,"hard_minus_unfiltered_block_eigen",0.999775210766979,6.57332343042721e-05,0.998493968517846,1,
"sparse_homogeneous",4,"ridge_fixed_minus_unfiltered_block_eigen",0.999797785958955,6.24024766776657e-05,0.998598731255703,1,
"sparse_homogeneous",4,"unfiltered_block_eigen_minus_block_csr",0.999787361040813,6.39688970722436e-05,0.998661293193728,1,
"sparse_homogeneous",5,"block_csr_minus_bed",0.984218505735743,0.000585742476527222,0.96382747346563,0.916666666666667,
"sparse_homogeneous",5,"block_csr_minus_full_csr",0.999424807401956,0.000112503846596698,0.997976207461123,1,
"sparse_homogeneous",5,"block_eigen_hard_minus_bed",0.984782330863753,0.000574573597407024,0.965203764931035,0.916666666666667,
"sparse_homogeneous",5,"block_eigen_ridge_fixed_minus_bed",0.985318986762446,0.000564529724776402,0.966022522424054,0.916666666666667,
"sparse_homogeneous",5,"block_eigen_unfiltered_minus_bed",0.984623150983696,0.000579036357131879,0.964834306060537,0.916666666666667,
"sparse_homogeneous",5,"full_csr_minus_bed",0.98479388751699,0.000573379416733516,0.965671098597424,0.916666666666667,
"sparse_homogeneous",5,"hard_minus_unfiltered_block_eigen",0.999791338914462,6.80910552900128e-05,0.99888071661816,1,
"sparse_homogeneous",5,"ridge_fixed_minus_unfiltered_block_eigen",0.999791287803137,6.80487975338433e-05,0.998901555799031,1,
"sparse_homogeneous",5,"unfiltered_block_eigen_minus_block_csr",0.99979581359084,6.7055243763063e-05,0.998919083262055,1,
"sparse_mixture",1,"block_csr_minus_bed",0.967655483752757,0.000726423813527361,0.829279116574315,0.533333333333333,0.999849249533056
"sparse_mixture",1,"block_csr_minus_full_csr",0.998781913572108,0.000141386873411652,0.989008804646044,0.933333333333333,0.999989049792726
