"architecture","replicate","configuration","method","vgs_posterior_mean","ves_posterior_mean","vbs_posterior_mean","pis_posterior_mean","vld_posterior_mean","vle_posterior_mean","benchmark_heritability","package_reported_heritability","marker_effect_variance","operator_diagonal_minimum","operator_diagonal_mean","log_cpo","mean_log_cpo"
"sparse_mixture",1,"bed","bayesr",0.385713078833865,1.01070605246533,0.00358183239913212,,-0.00363393603995998,0.389347014873825,0.276215836770301,,7.29261246167339e-06,,,,
"sparse_mixture",1,"block_csr","sbayesr",0.526937838191673,0.869511540173445,0.00440298582766213,0.00996390605019532,-0.00081175422299536,0.527749592414668,0.377341167073726,,8.2098785330685e-06,,,,
"sparse_mixture",1,"block_eigen_hard","sbayesr",0.527045875508456,0.869333795681892,0.0044746470346668,0.00995986544262128,-0.000800194568899124,0.527846070077355,0.377437373503994,,8.22176655623124e-06,,,,
"sparse_mixture",1,"block_eigen_ridge_fixed","sbayesr",0.527541354430802,0.868437591205304,0.0044417066309564,0.00996280604373315,-0.000784617885094203,0.528325972315896,0.377900652499037,,8.21928694649499e-06,,,,
"sparse_mixture",1,"block_eigen_unfiltered","sbayesr",0.528762137910115,0.869154183103506,0.00452267083840428,0.00996129003804232,-0.000836806982174492,0.52959894489229,0.378250207084436,,8.23122713578442e-06,,,,
"sparse_mixture",1,"full_csr","sbayesr",0.52638843417032,0.870996033582553,0.00444816995540399,0.00996660234325824,-0.00014924936999735,0.526537683540317,0.3766954952754,,8.19821230422217e-06,,,,
"sparse_mixture",2,"bed","bayesr",0.420475318805865,0.978899599131448,0.0037911820756863,,0.00184443031570759,0.418630888490158,0.300473671077118,,8.32287004696165e-06,,,,
"sparse_mixture",2,"block_csr","sbayesr",0.582358328271136,0.820296744455678,0.0049667487021815,0.00995252361308487,-0.000470175140652566,0.582828503411789,0.415182848295704,,9.65005958209291e-06,,,,
"sparse_mixture",2,"block_eigen_hard","sbayesr",0.581546251526904,0.819879795440309,0.00496549873466901,0.00995112976034228,-0.00048642385117638,0.582032675378081,0.414967491709899,,9.64711109654469e-06,,,,
"sparse_mixture",2,"block_eigen_ridge_fixed","sbayesr",0.581345680575159,0.819549122305907,0.00493550923083431,0.00995258485000286,-0.000480407698317177,0.581826088273476,0.414981681265124,,9.63513106003849e-06,,,,
"sparse_mixture",2,"block_eigen_unfiltered","sbayesr",0.581638185496557,0.819793931778163,0.00497143046619303,0.00995507552660446,-0.00047389732368988,0.582112082820247,0.415031294293179,,9.6458721337782e-06,,,,
"sparse_mixture",2,"full_csr","sbayesr",0.583119952299103,0.817605346924517,0.00494659147022652,0.00995400578733772,-8.60252945580046e-05,0.583205977593661,0.416298579473298,,9.6479741158651e-06,,,,
"sparse_mixture",3,"bed","bayesr",0.4474339923155,0.956875757384985,0.00401636358338925,,0.00956009437195247,0.437873897943547,0.318614887072407,,8.7473677182694e-06,,,,
"sparse_mixture",3,"block_csr","sbayesr",0.629011497429298,0.776815544013333,0.00536922297905909,0.00994791864307855,0.00214534219786612,0.626866155231432,0.447431639089699,,1.05085045544841e-05,,,,
