"architecture","replicate","simulation_seed","marker_count","causal_count","effect_scale","genetic_variance","residual_variance","phenotypic_variance","realized_heritability"
"sparse_homogeneous",1,61100,37991,50,0.0916926924173898,0.428571428571429,1,1.43209020410216,0.3
"sparse_homogeneous",2,61200,37991,50,0.0948422928033054,0.428571428571429,1,1.43769020725472,0.3
"sparse_homogeneous",3,61300,37991,50,0.101764681456542,0.428571428571429,1,1.41890009239538,0.3
"sparse_homogeneous",4,61400,37991,50,0.104926745623327,0.428571428571429,1,1.45624036664495,0.3
"sparse_homogeneous",5,61500,37991,50,0.0862417300128208,0.428571428571429,1,1.45412900354847,0.3
"sparse_mixture",1,71100,37991,50,0.264456250846169,0.428571428571429,1,1.3947583512779,0.3
"sparse_mixture",2,71200,37991,50,0.238267437347386,0.428571428571428,1,1.41761905841738,0.3
"sparse_mixture",3,71300,37991,50,0.32309219885835,0.428571428571429,1,1.43447914298818,0.3
"sparse_mixture",4,71400,37991,50,0.282852560885884,0.428571428571428,1,1.45461359660321,0.3
"sparse_mixture",5,71500,37991,50,0.271060493531415,0.428571428571429,1,1.42024103118141,0.3
