"comparison_id","architecture","metric","orientation","complete_paired_replicates","mean_difference","sd_difference","median_difference","minimum_difference","maximum_difference","interpretation_level"
"block_csr_minus_bed","sparse_homogeneous","causal_marker_effect_correlation","block_csr minus bed",5,0.000807942950162643,0.00883132518135021,-0.000260976459600992,-0.0112169684064415,0.0128122956446366,4
"block_csr_minus_bed","sparse_homogeneous","genetic_value_correlation","block_csr minus bed",5,-0.00869722067980296,0.00730246961274248,-0.00703592567543176,-0.0162736401254109,-0.000287603020109772,4
"block_csr_minus_bed","sparse_homogeneous","genetic_value_reconstruction_correlation","block_csr minus bed",5,-0.00842085836794943,0.00627918985403578,-0.00909678268749092,-0.0148969808878452,-0.00123848665003989,4
"block_csr_minus_bed","sparse_homogeneous","genetic_value_rmse","block_csr minus bed",5,0.0141759641417903,0.0102330142476048,0.0131854358594483,0.000737319341696241,0.025674497240273,4
"block_csr_minus_bed","sparse_homogeneous","high_pip_marker_count","block_csr minus bed",5,1.6,1.51657508881031,2,-1,3,4
"block_csr_minus_bed","sparse_homogeneous","marker_effect_correlation","block_csr minus bed",5,-0.010091559238725,0.00728262104819622,-0.00975479061511264,-0.0175972574306034,-0.00140457489406187,4
"block_csr_minus_bed","sparse_homogeneous","marker_effect_rmse","block_csr minus bed",5,8.1617001436368e-05,5.10418367752717e-05,8.61673788857852e-05,1.16581196072134e-05,0.000138020338114103,4
"block_csr_minus_bed","sparse_homogeneous","noncausal_marker_rmse","block_csr minus bed",5,0.000401585943255072,9.95950829887995e-05,0.000416868248489409,0.000265838779120468,0.000532266252835342,4
"block_csr_minus_bed","sparse_homogeneous","nonnull_probability_mean","block_csr minus bed",5,0.000563259719407228,3.55394763819398e-05,0.000560185307046406,0.000512595088310389,0.000599326156194888,4
"block_csr_minus_bed","sparse_homogeneous","phenotype_prediction_correlation","block_csr minus bed",5,-0.00334738332645472,0.00227852232047039,-0.00396875684233244,-0.0060686290606039,-0.000179169664438095,4
"block_csr_minus_bed","sparse_homogeneous","phenotype_prediction_rmse","block_csr minus bed",5,0.00256176974308788,0.00145160685159476,0.00309395557870995,0.000608424386318251,0.00431120712153876,4
"block_csr_minus_bed","sparse_homogeneous","prediction_regression_slope","block_csr minus bed",5,0.00115168845354765,0.0161922107419811,0.00444698311614466,-0.0259034704303267,0.0168372548014891,4
"block_csr_minus_bed","sparse_mixture","causal_marker_effect_correlation","block_csr minus bed",5,0.00121422758959719,0.00506849248309649,0.00326042939616544,-0.00644732519261015,0.00641859073717033,4
"block_csr_minus_bed","sparse_mixture","genetic_value_correlation","block_csr minus bed",5,-0.0397722720844499,0.00544611590248617,-0.0385804399384242,-0.0480742798420426,-0.0335799399264235,4
"block_csr_minus_bed","sparse_mixture","genetic_value_reconstruction_correlation","block_csr minus bed",5,-0.0423430216081502,0.00576839889042524,-0.0411694682184482,-0.0517459462847147,-0.0373739330924329,4
"block_csr_minus_bed","sparse_mixture","genetic_value_rmse","block_csr minus bed",5,0.0590108984973844,0.0144616084138854,0.0599852091280086,0.0380759888249518,0.0733901011123489,4
"block_csr_minus_bed","sparse_mixture","high_pip_marker_count","block_csr minus bed",5,8,1.22474487139159,8,7,10,4
"block_csr_minus_bed","sparse_mixture","marker_effect_correlation","block_csr minus bed",5,-0.0393233042473324,0.00694388627209304,-0.037668574349892,-0.0466776710669572,-0.0303346284387639,4
"block_csr_minus_bed","sparse_mixture","marker_effect_rmse","block_csr minus bed",5,0.000298692580656087,8.86845452479752e-05,0.000284172568762654,0.000173812506657423,0.000398271501404916,4
"block_csr_minus_bed","sparse_mixture","noncausal_marker_rmse","block_csr minus bed",5,0.000690934848123768,7.92254473905177e-05,0.00069883455055771,0.000572776264556216,0.000777956044517052,4
"block_csr_minus_bed","sparse_mixture","nonnull_probability_mean","block_csr minus bed",5,0.00118988313021505,5.25704656070443e-05,0.00118643231291622,0.00113168250375089,0.00127142612724066,4
"block_csr_minus_bed","sparse_mixture","phenotype_prediction_correlation","block_csr minus bed",5,-0.0142058392685815,0.00500923684408962,-0.0144221407686521,-0.0195592934013679,-0.00623632893767756,4
