"file","size_bytes","md5"
"benchmark_manifest.json",2680,"7038465a48de34823fd7f5c9d76979ad"
"block_level_operator_diagnostics.csv",20308,"423cb40b8e6d881ef9254e367fe42144"
"computational_summary.csv",8505,"01f520c631bd5e3f55484e2464ec6fb7"
"config.R",3985,"95b35b7a58743ce28985295287534e56"
"contract_smoke_test.R",3136,"c79b30fce5a0d7dedc01c5376685b195"
"convergence_diagnostics.csv",93355,"68a52b392f756894428380d4ce67319e"
"convergence_validation_summary.csv",3021,"a2f8d582951b41b4fefb362e4e366fc2"
"example_data_manifest.csv",1587,"fb5be7c21b86eec5bba53f876fe66afb"
"filter_specification.csv",183,"cbc86164906ec55e7babf76aa17009a3"
"fit_status.csv",3783,"c112a4baf71aec3aa745254fffeed9cb"
"full_csr_operator_action_metrics.csv",400,"f4d4b3b58903a9acedf074643a4cd59f"
"interface_audit_sources.csv",2762,"1358bcd3c701b767e648a1f155f7f610"
"marker_effect_agreement.csv",11977,"0dccbf762ea52d7a533987f348cf3194"
"marker_effect_metrics.csv",42914,"55a366f61f5f78d426b4a28c41c8ee3d"
"method_output_availability.csv",3209,"3ae52c372c635a990f2d7ffbb961776e"
"operator_perturbation_metrics.csv",72049,"24364489554cd28284827ce6a3403e27"
"operator_summaries.csv",1060,"66fef504e25fe39b67ab723c597141ae"
"paired_comparison_summary.csv",46863,"c1eb50357a828c0085901814ea7c39fb"
"paired_replicate_differences.csv",192422,"0fb9084dd9c6a82b87ca60ed9344c5b1"
"parameter_estimates.csv",155472,"4b623d4e0d4e612e0ee5228849669d8b"
"parameter_recovery_summary.csv",2820,"f668cafcd72a149c547c486708faa8ff"
"prediction_metrics.csv",30777,"7a89f0c675e07e80378823df308730ad"
"README.md",344,"a819aaee2e0e8c1287765b31ae2da6c2"
"reproduce.R",17935,"f5d6e2615cd9709c294c751227583568"
"sbayesr_diagnostic_evidence.csv",6370,"b07ae761e7a13b75446383df43fdcbe1"
"seed_registry.csv",15836,"fa0a59b3cbde6114189def09ee5cbc9a"
"selected_block_definitions.csv",2248,"680eb524dcba0a23d55f396a214f306d"
"selected_block_design.csv",841,"efd420896874bb32541653b91cca6050"
"session_info.txt",2473,"290ad6bb08f866368577d77d902361d7"
"simulation_summary.csv",1137,"7072150df241fcf81fe6418c3aa52251"
"source_files.csv",966,"dcddf5fbed7d59f0017809662600a289"
"synthetic_filter_validation.csv",1458,"ad52edd4aa537ee97a8bd9b75c6a24dd"
