"replicate","focal_value","reference_value","complete_pair","difference","architecture","comparison_id","metric","orientation","interpretation_level"
1,0.000512687360185736,8.14153461438304e-05,TRUE,0.000431272014041906,"sparse_homogeneous","full_csr_minus_bed","noncausal_marker_rmse","full_csr minus bed",4
1,0.000517390598112429,8.14153461438304e-05,TRUE,0.000435975251968599,"sparse_homogeneous","block_eigen_ridge_fixed_minus_bed","noncausal_marker_rmse","block_eigen_ridge_fixed minus bed",4
1,0.000517390598112429,0.00051922778861573,TRUE,-1.83719050330104e-06,"sparse_homogeneous","ridge_fixed_minus_unfiltered_block_eigen","noncausal_marker_rmse","block_eigen_ridge_fixed minus block_eigen_unfiltered",3
1,0.00051922778861573,8.14153461438304e-05,TRUE,0.0004378124424719,"sparse_homogeneous","block_eigen_unfiltered_minus_bed","noncausal_marker_rmse","block_eigen_unfiltered minus bed",4
1,0.00051922778861573,0.000521975078155107,TRUE,-2.74728953937619e-06,"sparse_homogeneous","unfiltered_block_eigen_minus_block_csr","noncausal_marker_rmse","block_eigen_unfiltered minus block_csr",1
1,0.000520386609514269,8.14153461438304e-05,TRUE,0.000438971263370438,"sparse_homogeneous","block_eigen_hard_minus_bed","noncausal_marker_rmse","block_eigen_hard minus bed",4
1,0.000520386609514269,0.00051922778861573,TRUE,1.15882089853818e-06,"sparse_homogeneous","hard_minus_unfiltered_block_eigen","noncausal_marker_rmse","block_eigen_hard minus block_eigen_unfiltered",3
1,0.000521975078155107,8.14153461438304e-05,TRUE,0.000440559732011276,"sparse_homogeneous","block_csr_minus_bed","noncausal_marker_rmse","block_csr minus bed",4
1,0.000521975078155107,0.000512687360185736,TRUE,9.28771796937023e-06,"sparse_homogeneous","block_csr_minus_full_csr","noncausal_marker_rmse","block_csr minus full_csr",2
1,0.000811495026124229,0.000257049498352182,TRUE,0.000554445527772048,"sparse_mixture","full_csr_minus_bed","noncausal_marker_rmse","full_csr minus bed",4
1,0.000825887551987286,0.000257049498352182,TRUE,0.000568838053635104,"sparse_mixture","block_eigen_hard_minus_bed","noncausal_marker_rmse","block_eigen_hard minus bed",4
1,0.000825887551987286,0.000826733535440809,TRUE,-8.45983453522472e-07,"sparse_mixture","hard_minus_unfiltered_block_eigen","noncausal_marker_rmse","block_eigen_hard minus block_eigen_unfiltered",3
1,0.000826733535440809,0.000257049498352182,TRUE,0.000569684037088627,"sparse_mixture","block_eigen_unfiltered_minus_bed","noncausal_marker_rmse","block_eigen_unfiltered minus bed",4
1,0.000826733535440809,0.000829825762908398,TRUE,-3.09222746758904e-06,"sparse_mixture","unfiltered_block_eigen_minus_block_csr","noncausal_marker_rmse","block_eigen_unfiltered minus block_csr",1
1,0.000829825762908398,0.000257049498352182,TRUE,0.000572776264556216,"sparse_mixture","block_csr_minus_bed","noncausal_marker_rmse","block_csr minus bed",4
1,0.000829825762908398,0.000811495026124229,TRUE,1.83307367841682e-05,"sparse_mixture","block_csr_minus_full_csr","noncausal_marker_rmse","block_csr minus full_csr",2
1,0.000830015730262604,0.000257049498352182,TRUE,0.000572966231910423,"sparse_mixture","block_eigen_ridge_fixed_minus_bed","noncausal_marker_rmse","block_eigen_ridge_fixed minus bed",4
1,0.000830015730262604,0.000826733535440809,TRUE,3.28219482179581e-06,"sparse_mixture","ridge_fixed_minus_unfiltered_block_eigen","noncausal_marker_rmse","block_eigen_ridge_fixed minus block_eigen_unfiltered",3
1,0.00110005001184491,0.000539864704798505,TRUE,0.000560185307046406,"sparse_homogeneous","block_csr_minus_bed","nonnull_probability_mean","block_csr minus bed",4
1,0.00110005001184491,0.00110836777131426,TRUE,-8.31775946934796e-06,"sparse_homogeneous","block_csr_minus_full_csr","nonnull_probability_mean","block_csr minus full_csr",2
1,0.00110836777131426,0.000539864704798505,TRUE,0.000568503066515754,"sparse_homogeneous","full_csr_minus_bed","nonnull_probability_mean","full_csr minus bed",4
1,0.00110897317785791,0.000539864704798505,TRUE,0.000569108473059409,"sparse_homogeneous","block_eigen_ridge_fixed_minus_bed","nonnull_probability_mean","block_eigen_ridge_fixed minus bed",4
1,0.00110897317785791,0.00110942065225975,TRUE,-4.47474401831828e-07,"sparse_homogeneous","ridge_fixed_minus_unfiltered_block_eigen","nonnull_probability_mean","block_eigen_ridge_fixed minus block_eigen_unfiltered",3
1,0.00110942065225975,0.000539864704798505,TRUE,0.000569555947461241,"sparse_homogeneous","block_eigen_unfiltered_minus_bed","nonnull_probability_mean","block_eigen_unfiltered minus bed",4
1,0.00110942065225975,0.00110005001184491,TRUE,9.37064041483496e-06,"sparse_homogeneous","unfiltered_block_eigen_minus_block_csr","nonnull_probability_mean","block_eigen_unfiltered minus block_csr",1
1,0.00111636966649996,0.000539864704798505,TRUE,0.000576504961701456,"sparse_homogeneous","block_eigen_hard_minus_bed","nonnull_probability_mean","block_eigen_hard minus bed",4
1,0.00111636966649996,0.00110942065225975,TRUE,6.94901424021493e-06,"sparse_homogeneous","hard_minus_unfiltered_block_eigen","nonnull_probability_mean","block_eigen_hard minus block_eigen_unfiltered",3
1,0.00128777136840201,0.00129577436597753,TRUE,-8.00299757551938e-06,"sparse_homogeneous","full_csr_minus_bed","marker_effect_rmse","full_csr minus bed",4
1,0.00130516396504649,0.00129577436597753,TRUE,9.38959906896723e-06,"sparse_homogeneous","block_eigen_hard_minus_bed","marker_effect_rmse","block_eigen_hard minus bed",4
