"architecture","replicate","configuration","metric","value","available","unavailable_reason"
"sparse_homogeneous",1,"bed","pip_auprc",0.471584331564093,TRUE,""
"sparse_homogeneous",1,"bed","pip_auroc",0.8082986742574,TRUE,""
"sparse_homogeneous",1,"bed","pip_causal_mean",0.3337,TRUE,""
"sparse_homogeneous",1,"bed","pip_null_mean",0.000100814422392662,TRUE,""
"sparse_homogeneous",1,"bed","top_marker_causal_enrichment",349.5172,TRUE,""
"sparse_homogeneous",1,"bed","total_pip_mass",20.51,TRUE,""
"sparse_homogeneous",1,"block_csr","pip_auprc",0.444205715332647,TRUE,""
"sparse_homogeneous",1,"block_csr","pip_auroc",0.79606784217601,TRUE,""
"sparse_homogeneous",1,"block_csr","pip_causal_mean",0.35596,TRUE,""
"sparse_homogeneous",1,"block_csr","pip_null_mean",0.00063240294140903,TRUE,""
"sparse_homogeneous",1,"block_csr","top_marker_causal_enrichment",334.3208,TRUE,""
"sparse_homogeneous",1,"block_csr","total_pip_mass",41.792,TRUE,""
"sparse_homogeneous",1,"full_csr","pip_auprc",0.453568174443153,TRUE,""
"sparse_homogeneous",1,"full_csr","pip_auroc",0.855459265702011,TRUE,""
"sparse_homogeneous",1,"full_csr","pip_causal_mean",0.3594,TRUE,""
"sparse_homogeneous",1,"full_csr","pip_null_mean",0.000636198307899107,TRUE,""
"sparse_homogeneous",1,"full_csr","top_marker_causal_enrichment",334.3208,TRUE,""
"sparse_homogeneous",1,"full_csr","total_pip_mass",42.108,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","pip_auprc",0.440551379508073,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","pip_auroc",0.823406604991961,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","pip_causal_mean",0.35326,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","pip_null_mean",0.000640942516011702,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","top_marker_causal_enrichment",334.3208,TRUE,""
"sparse_homogeneous",1,"low_rank_0995","total_pip_mass",41.981,TRUE,""
"sparse_homogeneous",1,"low_rank_0999","pip_auprc",0.44591977140297,TRUE,""
"sparse_homogeneous",1,"low_rank_0999","pip_auroc",0.806092617485043,TRUE,""
