"file","sha256"
"benchmark_manifest.json","24d9432d8a75c3f13b398dfba66cbc0408354c4f1ee4a965a117ab063b76b466"
"block_definitions.csv","093278afa57c2600535816d98afb21c95f2d0402ef65b1dea528b7c10e536315"
"block_diagnostics.csv","9faa21e646cb0c79b7037bc955e2011f81cce598763381704be4365ce5f1947f"
"component_summary.csv","20541caaa530be67bd0732a7f4632fcfce7e9d263d713cb719752bf7009c81cf"
"conditional_marker_summary.csv","d198a160e695e1c51994870487f841757bf1026069645b72e5bd8fcb88c558d7"
"convergence_summary.csv","2035559b1bc8c961e291f6bb2c4e0c240d481a1e2162278f5cf10edad30d9c36"
"design.csv","0214c6bbe7cd9606dadc2fdd96d0faec48263c194cc0b19027788845e22ba03c"
"deterministic_residual_audit.csv","12f6b61a6aad6a7b1d850061d63a2596bf368c29c8c48185b48c69ad7cdf2127"
"deterministic_variance_audit.csv","462bd5d7edd7c4af626f1d426ac5932c5703f23a1c918b0c44b354455b16bbcc"
"effect_recovery.csv","f32926c7103bf7d85aeb0068afb189477290a88c63eff8d23b5b7b38a6638c51"
"effective_rank_summary.csv","f8416853cbda7cd31dedb5d6a27c051a078f8bc446989590c66d15048c6c9916"
"eigenvalue_summary.csv","3be60b5fa48ac470b4a00f9ce74f4973cf2266e8aaf6c349a938de2f35928849"
"fit_status.csv","6a11e05e56164840339d5cf6297789fce4106489f3f799ed54ccb3739b3b5494"
"input_equivalence.csv","5e9d7db93dc7ddd71215001cd2b3719da67d1cc830fd45b1111fa98e1ae99272"
"ld_operator_comparison.csv","6e348a54d75c0fe3c1409147c5ffaae22f44e59dbdf7b12456b26a1132928eb3"
"low_eigen_direction_summary.csv","56455478c3fdbf4b6ba8d3cdfbc212c44a1fa87c0c80eed8498a2d074534324c"
"operator_pairwise_comparison.csv","714d5b8409e1ecbe3f6ed3c55ce2c832054fc63d0b70c69d201e9966d5899beb"
"operator_quadratic_checks.csv","dde9298d7bad634a16779d3cef90a6c84084c02d8cdbeff4d3f6fcf3792f29f4"
"operator_score_checks.csv","7052b2e606c0e01f03037832f829b5aee7e76f4bff9a58c92709ec40aa4dace0"
"operator_summary.csv","4825ddb2eaa8044d9fa48cc76502f678a06f73f5b6d6020d62c90a650bcff08e"
"pi_summary.csv","3c386d71f0253dade1a4f1afa85169ff9a741c6d034ab1e4946c9843ad620f07"
"posterior_operator_comparison.csv","63026bbcd67f30e5bbb02965881bfec68b0ff1e9fc4ff2459e2a1e8c5497d4a3"
"prediction_metrics.csv","35cf929128e23b666d434be7055a1929024a05a363cdf947ce3ea4c00ee2fe60"
"prior_resolution.csv","263d1d77fef65c5aed9c8f3f619d111958df5f5e1cb54d84d0fc4f4d419f0b53"
"provenance.csv","a7293cc69ae1706b6e0e1dc5184278b8e8949ea0a23bf940786fe601767669fc"
"quadratic_error_decomposition.csv","f4873e2181cb9a719a0980feb3f0426b3eb3d6a43e1f6f804a39a0bc6a5df5db"
"README.md","e442eeca514cf31054c9b68db0e313a6e34516467aa683ba6c87295b1ee7e2d0"
"scheduler_comparison.csv","7fe24b346d5363f573b6382393c63f8df9ea7a884e2c4f1268386b27b63c8a64"
"variance_summary.csv","ec810b41829e1e0546e1fdc1cbae1f807a865777166d38ed9972ea689c24a9b6"
