"variant","label","quantity","rhat","bulk_ess","tail_ess","mcse","relative_mcse"
"bed_exact_data","BED exact data","active_probability",1.00024680543224,3902.40821319131,4041.51874964411,2.25984002746483e-06,0.0160101700652755
"csr_exact_ld","CSR exact LD","active_probability",1.00073678160482,3930.21105639062,3830.95814613076,2.26133860193722e-06,0.0159487979144179
"csr_sparse_ld","CSR hard sparse","active_probability",1.00000183615105,3950.25911688928,3762.04732893929,2.24581683754287e-06,0.0159044363866442
"bed_exact_data","BED exact data","heritability",1.00000373407147,3650.04633547468,4100.27897370143,0.000190011471859141,0.016550402239207
"csr_exact_ld","CSR exact LD","heritability",1.00186767880505,4157.83815804389,3879.42233923563,0.000180911474639322,0.0155013415465132
"csr_sparse_ld","CSR hard sparse","heritability",1.00057338188292,3833.08733527684,3749.40903074225,0.000191281953430679,0.0161607948377312
"bed_exact_data","BED exact data","pi_component_0",1.0002461915772,3902.40821319131,4041.51874964411,2.25984002746484e-06,0.0160101700652755
"csr_exact_ld","CSR exact LD","pi_component_0",1.00073678160482,3930.21105639062,3830.95814613076,2.26133860193721e-06,0.0159487979144179
"csr_sparse_ld","CSR hard sparse","pi_component_0",1.00000195882818,3950.25911688928,3762.04732893929,2.24581683754286e-06,0.0159044363866441
"bed_exact_data","BED exact data","pi_component_1",0.999736483224654,3928.66398073607,3508.25153600285,1.31973272030341e-06,0.0159395193325674
"csr_exact_ld","CSR exact LD","pi_component_1",1.00031208664378,4238.02105261935,3926.43563103982,1.23651343695995e-06,0.0153650121864748
"csr_sparse_ld","CSR hard sparse","pi_component_1",1.00067218821677,3671.0226013806,3667.51185962655,1.38988043511101e-06,0.016483310449557
"bed_exact_data","BED exact data","pi_component_2",0.999698616692751,4031.77433423837,3914.64031723126,1.28894003921864e-06,0.015742870985186
"csr_exact_ld","CSR exact LD","pi_component_2",1.00092004497557,3731.94900245619,3597.07693274845,1.33859151215175e-06,0.0163991522573468
"csr_sparse_ld","CSR hard sparse","pi_component_2",0.999666240233111,3972.29713801776,3486.60236249844,1.26648032761873e-06,0.015887154115602
"bed_exact_data","BED exact data","pi_component_3",1.0004863844163,3864.3728748506,3787.04551078696,1.31540180817092e-06,0.0160875195531529
"csr_exact_ld","CSR exact LD","pi_component_3",1.00052207880825,3942.37039344353,3955.75565519017,1.30088856612454e-06,0.0159076714781141
"csr_sparse_ld","CSR hard sparse","pi_component_3",1.00004953863952,3991.19017451285,4012.39794488747,1.30453697470042e-06,0.0158380873603073
"bed_exact_data","BED exact data","vbs",1.00139085288128,1200.84253489419,1516.13390374769,0.00197039008156314,0.030475239239736
"csr_exact_ld","CSR exact LD","vbs",1.00247200089683,1016.81133975396,1518.433990343,0.00236623217265658,0.0348356346056777
"csr_sparse_ld","CSR hard sparse","vbs",1.00162162981532,1007.48635289534,1743.8703881241,0.00185882979423991,0.0303045996062097
"bed_exact_data","BED exact data","ves",1.00007350801869,3764.38550663333,3605.77245285297,0.000333944115833557,0.0162968904596205
"csr_exact_ld","CSR exact LD","ves",1.00027449483824,3898.67074306094,3889.66963146164,0.000325562240893066,0.016009918549486
"csr_sparse_ld","CSR hard sparse","ves",1.0004500002352,3764.6027817873,3723.97268578528,0.000326919245113537,0.0162901141599752
"bed_exact_data","BED exact data","vgs",1.00000471578319,3598.17051686075,3929.2627073421,0.000350443537110567,0.0166695744707482
"csr_exact_ld","CSR exact LD","vgs",1.00055825476831,4218.19413999287,3970.02398782642,0.000327055404165794,0.0153952248782319
"csr_sparse_ld","CSR hard sparse","vgs",1.00072938936518,3931.71955430423,3845.96183931795,0.000348570449625459,0.0159609486147169
"bed_exact_data","BED exact data","vld",1.00018160914888,4123.35061778768,4013.40419454383,2.2246639310324e-05,0.0155680528110241
"csr_exact_ld","CSR exact LD","vld",0.999541649903075,4152.88423691851,3803.85813341519,2.26731388600665e-05,0.0155115658592942
"csr_sparse_ld","CSR hard sparse","vld",1.00059938070282,3762.39024744664,3916.64881964342,6.17133726439791e-06,0.0161673452497964
"bed_exact_data","BED exact data","vle",0.9998064346667,3545.48989477844,3912.77775485768,0.000348803543549586,0.0167938541715153
"csr_exact_ld","CSR exact LD","vle",1.0002465609161,4177.23305038751,3775.61655807399,0.000324645926023565,0.0154729404251142
