"basis","effect","exact_quadratic","sparse_quadratic","exact_minus_sparse","negative_sparse_contribution","lowest_one_percent_contribution","lowest_five_percent_contribution","largest_change_directions_contribution"
"exact","truth",2142.42857114505,2102.98172311363,39.4468480314178,0,-10.9212628792288,-68.2450826984083,10.9360031491469
"exact","bed_exact_data",1974.26223412454,1942.05955423061,32.2026798939217,0,-10.4752223816507,-62.0105264044017,9.79392793783849
"exact","csr_exact_ld",1972.5985716354,1940.42408331533,32.1744883200701,0,-10.4326786532633,-61.9492410530014,9.79102252428359
"exact","csr_sparse_ld",2083.57276381914,2020.87618634953,62.6965774696111,0,-9.95075897643363,-59.792767115375,10.3027012724978
"exact","block_eigen_full_rank",2076.68610935647,2016.27985187036,60.4062574861124,0,-9.92084590468156,-59.7447306042415,10.53381540223
"exact","block_eigen_retained",2067.82895115326,2008.67699351439,59.1519576388699,0,-9.92734462889028,-59.714228700781,10.484927407181
"hard_sparse","truth",2142.42857114503,2102.98172311362,39.4468480314152,0,0.907705343091591,9.92867088251797,3.99799406873227
"hard_sparse","bed_exact_data",1974.26223412452,1942.0595542306,32.2026798939197,0,0.762910000651794,8.03737459316883,3.65780653448796
"hard_sparse","csr_exact_ld",1972.59857163539,1940.42408331532,32.1744883200682,0,0.757403757787166,8.03397331223139,3.67098136779937
"hard_sparse","csr_sparse_ld",2083.57276381912,2020.87618634951,62.6965774696092,0,0.880874727926768,9.19695658342384,3.87108886406899
"hard_sparse","block_eigen_full_rank",2076.68610935646,2016.27985187035,60.4062574861105,0,0.797660392346938,8.92556822798231,3.86256624910513
"hard_sparse","block_eigen_retained",2067.82895115324,2008.67699351438,59.1519576388678,0,0.765418058035161,8.80534597761447,3.82027728023357
