"scenario","replicate","method","quantity","parameter_name","annotation_name","stick_name","burnin","retained_draws","rhat","ess_bulk","ess_tail","mcse_mean","posterior_sd","relative_mcse","chain_count","draws_per_chain","rhat_pass","ess_bulk_pass","ess_tail_pass","relative_mcse_pass","chain_count_pass","finite_nonconstant_pass","overall_pass"
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",250,500,1.98769879771644,5.56301069579091,18.3258883980942,0.041035272627157,0.0957662446552434,0.428494118933902,4,500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",250,1000,1.91005376985244,5.70498954371893,14.6715848512838,0.0499812459118332,0.115676165032191,0.432079036315945,4,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",250,1500,1.68522130662454,6.28338081690979,26.8853625670542,0.0489255866843676,0.120528138099993,0.405926677833336,4,1500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",250,2000,1.67951537659064,6.40237378489068,39.9386307267,0.0448474055388409,0.113164806571558,0.396301702777907,4,2000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",250,2500,1.34732538530449,9.59878274456025,40.5500943489357,0.0366843399461725,0.111576928081345,0.328780694871147,4,2500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",500,500,2.47647045591665,4.94632091136957,12.3211970167891,0.0598068554156644,0.126719849948551,0.471961223438523,4,500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",500,1000,2.19284839104034,5.12703698370334,16.748483876456,0.0551570738807239,0.120531300915279,0.457616183197871,4,1000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",500,1500,2.18182020685078,5.24083423959899,26.9239630492788,0.0548260339389458,0.123193393527214,0.445040374075209,4,1500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",500,2000,1.60942830040877,6.66243134906561,34.7887662328411,0.044309270380948,0.112947995054303,0.392297980673716,4,2000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"informative_annotations",1,"st_bed_bayesrc","alpha:continuous_signal:component_0_stick","alpha","continuous_signal","component_0_stick",500,2500,1.43274904989528,8.19206362028181,35.5561883863705,0.0422923990490533,0.117193114440101,0.360877848934286,4,2500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
