"architecture","replicate","configuration","method","estimand","burnin_candidate","retained_draw_candidate","rhat","ess_bulk","ess_tail","mcse_mean","posterior_sd","relative_mcse","chain_count","draws_per_chain","rhat_pass","ess_bulk_pass","ess_tail_pass","relative_mcse_pass","chain_count_pass","finite_nonconstant_pass","overall_pass","limiting_diagnostic"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",250,250,1.00359571144126,818.174061860546,883.257022663883,1.50252728953179e-06,4.29050803557748e-05,0.035019798985869,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",250,500,1.00049411402091,1620.61773463035,1643.32973945122,1.08721243609748e-06,4.3816315027594e-05,0.0248129591777126,4,500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",250,1000,1.00067478605791,3198.29318314936,3665.97343057813,7.78153873311742e-07,4.40576125645974e-05,0.0176621888480864,4,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",250,2000,0.999856920688101,6623.83715748881,7592.67404673559,5.44575849546424e-07,4.41979383920719e-05,0.0123212952766165,4,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",500,250,1.00275983490215,885.227205979534,850.726266417121,1.49855998543464e-06,4.46602795719539e-05,0.0335546485556646,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",500,500,1.00169731374983,1439.94719703116,1687.95869151266,1.18044883525244e-06,4.47933713048969e-05,0.0263532036295602,4,500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",500,1000,0.99969870188151,3431.68733472204,3810.41377184132,7.52756179940013e-07,4.42695220884151e-05,0.0170039373462539,4,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",500,2000,1.00000522330826,6893.47067408493,7809.23320922909,5.34540317437062e-07,4.44370872354215e-05,0.012029148413917,4,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",1000,250,1.00096564642221,975.551195236687,855.554344622606,1.40040156092174e-06,4.37260159885176e-05,0.032026735783326,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",1000,500,1.00110314310289,1874.34162503163,1952.62817834509,1.00856637929452e-06,4.37501017740547e-05,0.0230528921853304,4,500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",1000,1000,1.00013659956568,3517.88259395603,3740.61130299553,7.44347146354492e-07,4.42266083941095e-05,0.0168303013362795,4,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","global_nonnull_proportion",1000,2000,0.999903097661618,7251.12567115871,7928.67900122636,5.2346751819488e-07,4.45719553165765e-05,0.0117443247548128,4,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",250,250,0.999294146101609,897.97625180174,954.501669105784,0.000599641867253431,0.0180413369438808,0.0332371081543829,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",250,500,0.999486159293022,2067.4923172045,1941.32627003176,0.000402533342310906,0.0182801845030934,0.0220202012864141,4,500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",250,1000,0.999983747519742,4401.53139471167,4044.97386288623,0.000278998155841966,0.018528475671081,0.015057804041453,4,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",250,2000,1.0002958331166,9043.10240245213,8140.01167212846,0.000191823663232966,0.0182424037987507,0.0105152624264409,4,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",500,250,1.00104544572217,1177.14769173726,969.433545673937,0.000540401572455369,0.0185231304444851,0.029174419198471,4,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",500,500,0.999351503169353,2320.41319192355,2137.50719204581,0.000390538445090108,0.0187967354845104,0.0207769293456267,4,500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
"sparse_homogeneous",1,"block_csr","sbayesc","heritability",500,1000,1.00033027671756,4461.68060420417,4129.73999151987,0.00027785034388199,0.0185569467443575,0.0149728480503655,4,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"rhat"
