"architecture","replicate","estimand_id","truth","truth_type","truth_definition","source","status","reason"
"sparse_homogeneous",1,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"effect_variance",0.00852938484405529,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"total_marker_effect_variance",0.426469242202764,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",1,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",2,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",2,"effect_variance",0.00825058557863151,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",2,"total_marker_effect_variance",0.412529278931576,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",2,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",2,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",2,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",3,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",3,"effect_variance",0.00862304554105187,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",3,"total_marker_effect_variance",0.431152277052593,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",3,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",3,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",3,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",4,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",4,"effect_variance",0.00872129062404772,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",4,"total_marker_effect_variance",0.436064531202386,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",4,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",4,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",4,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",5,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",5,"effect_variance",0.00828524749979323,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",5,"total_marker_effect_variance",0.414262374989662,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",5,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",5,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_homogeneous",5,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"effect_variance",0.00849680704219547,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"total_marker_effect_variance",0.424840352109774,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"genetic_variance",0.428571428571429,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",1,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",2,"causal_proportion",0.00131610118185886,"realized_quantity","causal_count/marker_count","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",2,"effect_variance",0.00865974410643859,"realized_quantity","mean(causal_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",2,"total_marker_effect_variance",0.432987205321929,"realized_quantity","sum(marker_effects^2)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",2,"genetic_variance",0.428571428571428,"realized_quantity","var(genetic_values)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",2,"residual_variance",1,"realized_quantity","var(residuals)","validated simulation on the fitted analysis scale","ok",""
"sparse_mixture",2,"heritability",0.3,"realized_quantity","var(G)/(var(G)+var(E))","validated simulation on the fitted analysis scale","ok",""
